flight,fault_type,accuracy,precision,recall,f1,fpr,tpr,specificity,balanced_accuracy,TP,TN,FP,FN,mean_detection_delay,median_detection_delay,roc_auc,pr_auc,mean_inference_time,std_inference_time
carbonZ_2018-07-18-12-10-11_no_ground_truth,Unknown_Fault,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,250,,,0.0,0.998,,
carbonZ_2018-07-18-15-53-31_1_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,142,,,0.0,0.9964788732394367,,
carbonZ_2018-07-18-15-53-31_2_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,116,,,0.0,0.9956896551724138,,
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,127,,,0.0,0.9960629921259843,,
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,120,,,0.0,0.9958333333333333,,
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,170,,,0.0,0.9970588235294118,,
carbonZ_2018-07-30-16-39-00_1_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,151,,,0.0,0.9966887417218543,,
carbonZ_2018-07-30-16-39-00_2_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,128,,,0.0,0.99609375,,
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,142,,,0.0,0.9964788732394367,,
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,122,,,0.0,0.9959016393442623,,
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,147,,,0.0,0.9965986394557823,,
carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,122,,,0.0,0.9959016393442623,,
carbonZ_2018-09-11-11-56-30_engine_failure,Engine_Failure,0.007462686567164179,1.0,0.007462686567164179,0.014814814814814815,0.0,0.007462686567164179,1.0,0.503731343283582,1,0,0,133,120.62758159637451,120.62758159637451,0.0,0.9962686567164178,,
carbonZ_2018-09-11-14-22-07_1_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,110,,,0.0,0.9954545454545455,,
carbonZ_2018-09-11-14-22-07_2_engine_failure,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,74,,,0.0,0.9932432432432432,,
carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,88,,,0.0,0.9943181818181819,,
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,Engine_Failure,0.006993006993006993,1.0,0.006993006993006993,0.013888888888888888,0.0,0.006993006993006993,1.0,0.5034965034965035,1,0,0,142,0.0,0.0,0.0,0.9965034965034966,,
carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,103,,,0.0,0.9951456310679612,,
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,137,,,0.0,0.9963503649635037,,
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,Engine_Failure,0.013793103448275862,1.0,0.013793103448275862,0.027210884353741496,0.0,0.013793103448275862,1.0,0.506896551724138,2,0,0,143,120.58060264587402,120.58060264587402,0.0,0.996551724137931,,
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,143,,,0.0,0.9965034965034966,,
carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,125,,,0.0,0.996,,
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,Engine_Failure,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,118,,,0.0,0.9957627118644068,,
carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,Engine_Failure,0.014084507042253521,1.0,0.014084507042253521,0.02777777777777778,0.0,0.014084507042253521,1.0,0.5070422535211268,2,0,0,140,113.94334077835083,113.94334077835083,0.0,0.9964788732394367,,
carbonZ_2018-07-18-16-37-39_1_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,30,0,0,,,0.0,0.0,,
carbonZ_2018-07-30-16-39-00_3_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,70,0,0,,,0.0,0.0,,
carbonZ_2018-09-11-14-16-55_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,39,0,0,,,0.0,0.0,,
carbonZ_2018-09-11-14-41-38_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,48,0,0,,,0.0,0.0,,
carbonZ_2018-09-11-15-05-11_2_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,79,0,0,,,0.0,0.0,,
carbonZ_2018-10-05-14-34-20_1_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,79,0,0,,,0.0,0.0,,
carbonZ_2018-10-05-14-37-22_1_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,83,0,0,,,0.0,0.0,,
carbonZ_2018-10-05-15-52-12_1_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,114,0,0,,,0.0,0.0,,
carbonZ_2018-10-05-15-52-12_2_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,48,0,0,,,0.0,0.0,,
carbonZ_2018-10-18-11-08-24_no_failure,Normal,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,30,0,0,,,0.0,0.0,,
carbonZ_2018-09-11-14-41-51_elevator_failure,Elevator_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,151,,,0.0,0.9966887417218543,,
carbonZ_2018-09-11-15-05-11_1_elevator_failure,Elevator_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,91,,,0.0,0.9945054945054945,,
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,234,,,0.0,0.9978632478632479,,
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,159,,,0.0,0.9968553459119497,,
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,Aileron_Stuck,0.008928571428571428,1.0,0.008928571428571428,0.017699115044247787,0.0,0.008928571428571428,1.0,0.5044642857142857,1,0,0,111,91.37341356277466,91.37341356277466,0.0,0.9955357142857142,,
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,159,,,0.0,0.9968553459119497,,
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,73,,,0.0,0.9931506849315068,,
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,186,,,0.0,0.9973118279569892,,
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,167,,,0.0,0.9970059880239521,,
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,Aileron_Stuck,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,116,,,0.0,0.9956896551724138,,
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,Rudder_Stuck,0.189873417721519,1.0,0.189873417721519,0.3191489361702127,0.0,0.189873417721519,1.0,0.5949367088607596,15,0,0,64,55.03066873550415,55.03066873550415,0.0,0.9936708860759493,,
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,Rudder_Stuck,0.26666666666666666,1.0,0.26666666666666666,0.4210526315789474,0.0,0.26666666666666666,1.0,0.6333333333333333,20,0,0,55,51.6021625995636,51.6021625995636,0.0,0.9933333333333334,,
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,Rudder_Stuck,0.1411764705882353,1.0,0.1411764705882353,0.24742268041237114,0.0,0.1411764705882353,1.0,0.5705882352941176,12,0,0,73,60.32669281959534,60.32669281959534,0.0,0.9941176470588236,,
